"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC049549","PC049549","HSS-8076826","6KDPQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","OR 5","2","VIHATRP20230724-058","09/30/2031","NTT-Deskside Services-Nanaimo-Staffed"
"LD101267","LD101267","HSS-8092860","6KGNG14","VIHA-OHC-Oceanside Health Centre-Main Building","","","","VIHATRP20250331-033","06/30/2033","NTT-Deskside Services-Nanaimo-Local"
"LD065897","LD065897","HSS-8074114","6KJQQT3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 203 (Claire Webb)","2","VIHATRP20230501-021","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC033731","PC033731","HSS-8088315","6KL4VZ3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G246B","G","VIHATRP20240708-005","10/31/2032","NTT-Deskside Services-Nanaimo-Staffed"
"LD027183","LD027183","HSS-8077987","6KMRQT3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","","2","VIHATRP20230828-054","10/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD066382","LD066382","HSS-8060827","6KXMVF3","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","","2","VIHATRP20220802-026","10/31/2030","NTT-Deskside Services-Nanaimo-Local"
"LD031710","LD031710","HSS-8074104","6KZPQT3","VIHA-NDC-Nanaimo Dufferin Centre-Main Building-1st Floor","Main Building","13","1 ","VIHATRP20230501-006","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC034652","PC034652","HSS-8073812","6L4QQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1001","1","VIHATRP20230417-085","08/31/2031","NTT-Deskside Services-Nanaimo-Staffed"
"PC030586","PC030586","HSS-8075824","6LBSVP3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1100 - Pathologist","1","VIHATRP20230626-088","08/31/2031","NTT-Deskside Services-Nanaimo-Staffed"
"PC030645","PC030645","HSS-8083716","6LD5VZ3","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor","Main Building","Activity office","1","VIHATRP20240219-004","04/30/2032","NTT-Deskside Services-Nanaimo-Staffed"
"PC030862","PC040567TRP","HSS-8060842","6LGMVF3","VIHA-NDBC-Nanaimo Dufferin Boundary Crescents-Main Building-1st Floor","Main Building","Office 3","1","VIHATRP20220802-033","10/31/2030","NTT-Deskside Services-Nanaimo-Local"
"LD031303","LD031303","HSS-8095673","6LTKG14","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","204 - Primary User: Victoria Brown","2nd Floor","ISLHTRP20250915-026","09/30/2030","NTT-Deskside Services-Nanaimo-Local"
"PC061393","PC061393","HSS-8059415","6LYMVF3","VIHA-NHC-Nanaimo Health Centre","Main Building","CHS admin","2","VIHATRP20220620-051","10/31/2030","NTT-Deskside Services-Nanaimo-Local"
"PC031574","PC031574","HSS-8074122","6LZPQT3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","Reception","2","VIHATRP20230501-027","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC032053","PC032053","HSS-8027472","6M3HRH3","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex-1st Floor","Main Building ","main- team room ","1","VIHATRP20220314-033","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD066058","LD066058","HSS-8023625","6M4HGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","303","3 ","VIHATRP20210816-014","11/30/2029","NTT-Deskside Services-Nanaimo-Local"
"PC029630","PC029630","HSS-8086458","6M64TY3","VIHA-MDO-Metral Drive Offices","Main Building","331","3","VIHATRP20240513-006","07/31/2032","NTT-Deskside Services-Nanaimo-Local"
"PC032768","PC032768","HSS-8062169","6M660N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G246A","","VIHATRP20220929-048","11/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD063779","LD063779","HSS-1043259","6MJPQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G162","G","REQ1004802-RITM1057016-SCTASK1689260","09/30/2031","NTT-Deskside Services-Nanaimo-Staffed"
"LD022878","LD022878","HSS-8075787","6MJTVP3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main","","1","VIHATRP20230626-066","08/31/2031","NTT-Deskside Services-Nanaimo-Staffed"
"","LD035381","HSS-8027418","6MQHRH3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","345","3","VIHATRP20220314-002","06/30/2030","NTT-Deskside Services-Nanaimo-Local"
