"City","Location","Building","Floor","Room","Department"
"","","","","202 -","IMIT"
"","","","","202 - Jennifer Chapman","In Patient Psychiatric"
"","","","","202 - Reception","In Patient Psychiatry"
"","","","","2021","Indigenous"
"","","","","202-10","Indigenous Health SI Adm"
"","","","","202-14 (Exam Room 3 - W17)","Infection Control"
"","","","","2022","Infectious Disease"
"","","","","202-2 (Exam Room 1 - W4)","Infectious Disease Clinic"
"","","","","202-3 (Exam Room 2 - W5)","Info Stewardship Audit & Priv"
"","","","","202-4","Information Desk"
"","","","","202-5 (Office - W7)","Inpatient Psychiatry"
"","","","","202-5 (Office - W8)","Integrated Primary/Urgent Care"
"","","","","202-6","Internal and Leadership Commun"
"","","","","202-6 (Office - W9)","Internal Medicine / Cancer Care"
"","","","","202-6 (Office W?)","Internal Medicine Cancer Care"
"","","","","2027","IPC - NRG/CRH"
"","","","","202-7","Kidney Care Center"
"","","","","202-7 (Office - W11)","Kidney Care Clinic"
"","","","","202-8 (Learning Centre - TV)","Kidney Care Clinics/Peri/Hemo"
"","","","","202-8 (Learning Centre - W12)","LAB"
"","","","","202-8 (Learning Centre - W13)","Lab"
"","","","","202-8 (Learning Centre - W14)","Lab Admin"
"","","","","202-8 (Learning Centre - W15)","Lab Core"
"","","","","2029","Lab Pathology"
"","","","","203","Lab Pre-Analytics"
"","","","","203 - Andrea Wing","Laboratory"
"","","","","203 - Dawn","Labour Relations"
"","","","","203 - Frank Broz","Labratory"
"","","","","203 - Outside Central area","Legal Services"
"","","","","203 - Steven Beddows","Library"
"","","","","203 - Treatment Room","Library Services"
"","","","","2031","Licensing"
"","","","","203-1450 Waddington Road","Licensing Admin"
"","","","","204","Linen Services"
"","","","","204 - COR Office","LIRU"
"","","","","204 - COR Pager Desk","Long Term Care Soc Work CI"
"","","","","204 - Primary User: Victoria Brown","Long Term Care Soc Work NI"
"","","","","204-A","LTC Access Respite & ADP"
"","","","","204-A    Suzanne-OT 2nd floor","LTC Clini Nurse Educators CI"
"","","","","205","LTC VIHA Admin"
"","","","","2050","LTC VIHA Admin - CI"
"","","","","2050 - Nurse Training","Magnetic Resonance Imaging"
"","","","","2050A","Mail Distribution"
"","","","","2053","Main Entrance"
"","","","","2059 Sim Lab","Main Entrance Information Desk"
