"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD033694","LD033694","HSS-8058701","FZ4KRH3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","3","1","VIHATRP20220505-042","08/31/2030","NTT-Deskside Services-WestCoast-Local"
"PC077217","PC077217","HSS-1984841","FZGKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2515 (Reports Room B)","2","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD035002","LD035002","HSS-8078552","FZP6PW3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Rm 1","1","VIHATRP20230918-026","11/30/2031","NTT-Deskside Services-WestCoast-Local"
"PC067010","PC067010","PC067010","G01RVP3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCMedical Imaging - 2288 - XRay room","","VIHATRP20221114-053","03/31/2031","NTT-Deskside Services-WestCoast-Staffed"
"LD037791","LD037791","HSS-8095849","G04LG14","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","Main Room","1","ISLHTRP20250922-021","09/30/2030","NTT-Deskside Services-WestCoast-Local"
"LD028551","LD028551","HSS-8072138","G13TVP3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","Reception Area","1","VIHATRP20230213-019","05/31/2031","NTT-Deskside Services-WestCoast-Local"
"PC032109","PC032109","HSS-8058664","G1CKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2109 MDRD","","VIHATRP20220505-017","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD030570","LD030570","HSS-8024943","G1JKGC3","VIHA-PAIHN-Port Alberni Integrated Health Network-Main Building-1st Floor","Main Building","Admin","1","VIHATRP20211025-003","01/31/2030","NTT-Deskside Services-WestCoast-Local"
"PC030728","PC030728","HSS-8086234","G2JJTY3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","Patient Lounge Room 10","1","VIHATRP20240429-015","07/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD065128","LD065128","HSS-8024979","G2SKGC3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","Main Room","1","VIHATRP20211025-027","01/31/2030","NTT-Deskside Services-WestCoast-Local"
