"SlNo","Asset Tag"
"50745","HSS-8065480"
"203207","HSS-1985505"
"3993","HSS-8065493"
"227558","HSS-8093590"
"228980","HSS-8093584"
"77755","HSS-1036981"
"230259","HSS-8093596"
"229189","HSS-8093592"
"270774","HSS-8096434"
"230010","HSS-8093586"
"41943","HSS-8080334"
"163428","HSS-8074737"
"256898","HSS-8093208"
"132737","HSS-8065487"
"92140","HSS-1035648"
"7008","HSS-1044165"
"247168","HSS-1047807"
"240616","HSS-8086842"
"100259","HSS-1044166"
"244604","HSS-8090960"
"280465","HSS-8098816"
"261749","HSS-8092546"
"284257","HSS-8100386"
"280473","HSS-8098817"
"244753","HSS-8090967"
"232865","HSS-8086351"
"235290","HSS-8093299"
"155273","HSS-8072322"
"156456","HSS-8080759"
"150901","HSS-8080762"
"232843","HSS-8083167"
"280621","HSS-8096714"
"45442","HSS-1043534"
"107838","HSS-1044354"
"125962","HSS-1044117"
"39191","HSS-1044119"
"195211","HSS-8078899"
"77936","HSS-1035237"
"41275","HSS-1039574"
"237424","HSS-1901112"
"247090","HSS-8089541"
"280940","HSS-8096772"
"190185","HSS-8027540"
"205247","HSS-8026144"
"24370","HSS-8027537"
"267076","HSS-8096149"
"267197","HSS-8096151"
"249568","HSS-8091868"
"271044","HSS-8096426"
"270722","HSS-8098126"
"270901","HSS-8096432"
"270759","HSS-8096425"
"45123","HSS-8026286"
"111652","HSS-8026281"
"166990","C003176"
"257812","HSS-8092779"
"288352","HSS-8100328"
"288449","HSS-8100320"
"235255","HSS-1997608"
"245473","HSS-8089281"
"270837","HSS-8097302"
"267308","HSS-8096417"
"270909","HSS-8096427"
"92223","C003174"
"267374","HSS-8096148"
"271032","HSS-8098140"
"288096","HSS-8100322"
"288386","HSS-8100324"
"270756","HSS-8096429"
"253902","HSS-8091867"
"267372","HSS-8096946"
"58691","HSS-8027542"
"270997","HSS-8098139"
"288085","HSS-8100329"
"288370","HSS-8100326"
"49329","HSS-8066608"
"261741","HSS-8095999"
"27893","HSS-1041184"
"27053","HSS-8027536"
"271022","HSS-8098125"
"234543","HSS-1997618"
"201932","HSS-8027539"
"257511","HSS-8093759"
"245467","HSS-8089282"
"288572","HSS-8100321"
"79560","HSS-8075454"
"195914","HSS-8075441"
"288484","HSS-8100048"
"79031","HSS-8070913"
"55217","HSS-8062168"
"149433","HSS-8070916"
"288140","HSS-8100050"
"129214","C003145"
"118830","C003142"
"176033","C003143"
"16021","C003146"
"43358","C003144"
